Date,Âge,Sexe,cooling type,Building_type,Climate,Season,Tair,tr,Tout,vel,RH,clo,Met,thermal_sensation,thermal_preference,TSV_3p,lat,lon
09-14-04,51,Female,Naturally Ventilated,Office,Cfb,Summer,24.2,24.4,24.2,0.1,56.0,0.44,1.2,-1,-1.0,-1.0,45.750000,4.850000
09-14-04,51,Male,Naturally Ventilated,Office,Cfb,Summer,23.8,24.1,24.2,0.02,57.0,0.55,1.2,0,0.0,0.0,45.750000,4.850000
09-14-04,31,Female,Naturally Ventilated,Office,Cfb,Summer,24.6,24.6,24.2,0.05,54.0,0.51,1.15,0,0.0,0.0,45.750000,4.850000
09-14-04,35,Male,Naturally Ventilated,Office,Cfb,Summer,23.9,24.0,24.2,0.03,58.0,0.55,1.625,0,0.0,0.0,45.750000,4.850000
09-14-04,52,Female,Naturally Ventilated,Office,Cfb,Summer,26.8,26.8,24.6,0.06,54.0,0.76,1.2,0,0.0,0.0,45.750000,4.850000
09-14-04,52,Female,Naturally Ventilated,Office,Cfb,Summer,26.5,26.6,24.6,0.03,50.0,0.44,1.275,1,0.0,1.0,45.750000,4.850000
09-14-04,54,Female,Naturally Ventilated,Office,Cfb,Summer,24.1,24.9,24.6,0.06,57.0,0.63,1.325,1,-1.0,1.0,45.750000,4.850000
09-14-04,33,Male,Naturally Ventilated,Office,Cfb,Summer,24.6,25.2,24.6,0.03,55.0,0.59,1.2,1,-1.0,1.0,45.750000,4.850000
09-14-04,48,Male,Naturally Ventilated,Office,Cfb,Summer,24.0,24.0,26.0,0.14,55.0,0.53,1.2,-1,0.0,-1.0,45.750000,4.850000
09-14-04,57,Female,Naturally Ventilated,Office,Cfb,Summer,24.0,24.0,27.1,0.14,55.0,0.61,1.2,1,-1.0,1.0,45.750000,4.850000
09-14-04,51,Female,Naturally Ventilated,Office,Cfb,Summer,23.6,24.4,27.1,0.04,58.0,0.64,1.15,0,1.0,0.0,45.750000,4.850000
09-14-04,53,Female,Naturally Ventilated,Office,Cfb,Summer,25.8,26.2,27.1,0.02,54.0,0.57,1.15,1,0.0,1.0,45.750000,4.850000
09-14-04,24,Male,Naturally Ventilated,Office,Cfb,Summer,24.6,25.4,27.1,0.05,55.0,0.61,1.2,1,-1.0,1.0,45.750000,4.850000
09-14-04,24,Male,Naturally Ventilated,Office,Cfb,Summer,24.9,24.9,27.7,0.05,53.0,0.56,1.2,-1,1.0,-1.0,45.750000,4.850000
09-15-04,40,Female,Naturally Ventilated,Office,Cfb,Summer,24.9,26.3,27.7,0.03,49.0,0.48,1.2,1,0.0,1.0,45.750000,4.850000
09-15-04,40,Female,Naturally Ventilated,Office,Cfb,Summer,24.8,25.0,27.7,0.05,46.0,0.59,1.2,0,0.0,0.0,45.750000,4.850000
09-15-04,31,Female,Naturally Ventilated,Office,Cfb,Summer,22.9,22.9,28.0,0.04,53.0,0.51,1.3,1,-1.0,1.0,45.750000,4.850000
09-15-04,35,Male,Naturally Ventilated,Office,Cfb,Summer,22.7,22.8,28.0,0.02,53.0,0.58,1.3,0,0.0,0.0,45.750000,4.850000
09-15-04,52,Female,Naturally Ventilated,Office,Cfb,Summer,24.8,25.6,28.0,0.04,47.0,0.81,1.2,1,0.0,1.0,45.750000,4.850000
09-15-04,52,Female,Naturally Ventilated,Office,Cfb,Summer,26.0,26.6,15.3,0.05,45.0,0.5,1.125,2,0.0,1.0,45.750000,4.850000
09-15-04,54,Female,Naturally Ventilated,Office,Cfb,Summer,24.7,24.9,15.3,0.07,44.0,0.58,1.6,0,0.0,0.0,45.750000,4.850000
09-15-04,33,Male,Naturally Ventilated,Office,Cfb,Summer,24.3,24.3,18.0,0.04,45.0,0.66,1.2,0,0.0,0.0,45.750000,4.850000
09-15-04,48,Male,Naturally Ventilated,Office,Cfb,Summer,23.8,24.0,18.0,0.05,48.0,0.53,1.2,1,-1.0,1.0,45.750000,4.850000
09-15-04,57,Female,Naturally Ventilated,Office,Cfb,Summer,23.8,24.0,18.0,0.05,48.0,0.59,1.15,0,0.0,0.0,45.750000,4.850000
09-15-04,51,Female,Naturally Ventilated,Office,Cfb,Summer,23.8,24.8,18.0,0.05,49.0,0.64,1.125,0,1.0,0.0,45.750000,4.850000
09-15-04,25,Female,Naturally Ventilated,Office,Cfb,Summer,24.2,24.4,18.0,0.04,47.0,0.51,1.15,-1,1.0,-1.0,45.750000,4.850000
09-15-04,24,Male,Naturally Ventilated,Office,Cfb,Summer,24.4,25.0,18.0,0.04,47.0,0.56,1.2,1,-1.0,1.0,45.750000,4.850000
09-15-04,59,Male,Naturally Ventilated,Office,Cfb,Summer,23.5,24.3,19.9,0.05,47.0,0.69,1.2,0,0.0,0.0,45.750000,4.850000
09-17-04,40,Female,Naturally Ventilated,Office,Cfb,Summer,24.9,25.5,19.9,0.02,41.0,0.55,1.475,1,-1.0,1.0,45.750000,4.850000
09-17-04,40,Female,Naturally Ventilated,Office,Cfb,Summer,24.9,24.6,19.9,0.04,40.0,0.63,1.2,1,-1.0,1.0,45.750000,4.850000
09-17-04,51,Male,Naturally Ventilated,Office,Cfb,Summer,23.0,23.3,19.9,0.02,42.0,0.63,1.3,0,0.0,0.0,45.750000,4.850000
09-17-04,35,Male,Naturally Ventilated,Office,Cfb,Summer,22.8,22.4,19.9,0.02,44.0,0.83,1.15,0,0.0,0.0,45.750000,4.850000
09-17-04,52,Female,Naturally Ventilated,Office,Cfb,Summer,26.2,25.9,21.5,0.34,38.0,0.59,1.125,2,-1.0,1.0,45.750000,4.850000
09-17-04,33,Male,Naturally Ventilated,Office,Cfb,Summer,24.8,25.0,19.0,0.05,39.0,0.66,1.1,0,0.0,0.0,45.750000,4.850000
09-17-04,48,Male,Naturally Ventilated,Office,Cfb,Summer,24.7,25.7,19.0,0.03,41.0,0.56,1.2,2,-1.0,1.0,45.750000,4.850000
09-17-04,53,Female,Naturally Ventilated,Office,Cfb,Summer,25.5,27.5,19.0,0.04,40.0,0.57,1.2,0,0.0,0.0,45.750000,4.850000
