Tair,tr,RH,vel,clo,Met,thermal_sensation,thermal_preference,Âge,Sexe,cooling type,Building_type,Tout,clim,Season,lat,lon,TSV_3p,Climate
22.5233330000000,22.7354810000000,39.07,0.0996670000000000,0.61,1.718,0,0,46.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,0,BSh
23.1333330000000,23.3371750000000,37.44,0.0763330000000000,0.73,1.117,0,0,35.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,0,BSh
23.4233330000000,23.6672420000000,36.68,0.103,0.73,1.246,1,0,50.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,1,BSh
22.3266670000000,22.4015260000000,35.36,0.165667000000000,1.26,1.203,-1,1,39.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,-1,BSh
21.9433330000000,22.1151600000000,35.27,0.158,0.99,1.568,0,0,28.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,0,BSh
21.5733330000000,21.7704700000000,40.63,0.0493330000000000,0.53,1.052,2,-1,25.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,1,BSh
21.97,21.9217380000000,41.49,0.0886670000000000,0.63,1.216,1,0,40.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,1,BSh
22.0133330000000,22.0210690000000,40.71,0.0723330000000000,0.86,1.508,-2,1,24.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,-1,BSh
21.8166670000000,21.8932450000000,40.95,0.147667000000000,0.94,1.375,1,0,35.0,Female,Air Conditioned,Office,14.9,hot arid,Winter,-30.749,121.466,1,BSh
22.7433330000000,22.9080750000000,44.75,0.0556670000000000,0.48,1.658,1,-1,40.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,1,BSh
22.3266670000000,22.2948210000000,41.38,0.058,0.98,1.387,0,0,52.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,0,BSh
21.5233330000000,21.3569220000000,43.39,0.0983330000000000,0.52,1.203,0,1,42.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,0,BSh
20.96,21.1443240000000,51.02,0.0706670000000000,0.82,1.031,-1,1,46.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,-1,BSh
22.9466670000000,23.2937780000000,33.79,0.162667000000000,0.53,1.688,2,-1,24.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,1,BSh
22.8733330000000,23.1500350000000,33.79,0.148667000000000,0.4,1.546,1,-1,34.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,1,BSh
23.1733330000000,23.2123960000000,33.04,0.167667000000000,0.59,1.267,1,-1,25.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,1,BSh
23.45,23.6918450000000,32.63,0.103667000000000,1.09,1.267,0,-1,54.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,0,BSh
22.55,22.5008140000000,33.88,0.181667000000000,0.63,1.387,0,0,43.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,0,BSh
22.8233330000000,22.935765000000,33.78,0.132,0.68,1.031,0,0,48.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,0,BSh
22.59,22.9586840000000,33.78,0.135667000000000,0.46,1.546,1,0,66.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,1,BSh
22.06,21.9378240000000,38.5,0.0643330000000000,0.96,1.031,2,-1,36.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,1,BSh
21.8033330000000,21.9732290000000,36.92,0.086,0.48,1.366,1,-1,40.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,1,BSh
22.3766670000000,22.6414290000000,37.32,0.06,1.04,1.237,2,-1,52.0,Female,Air Conditioned,Office,13.45,hot arid,Winter,-30.749,121.466,1,BSh
