Date,Âge,Sexe,cooling type,Building_type,Climate,Season,Tair,tr,Tout,vel,RH,clo,Met,thermal_sensation,thermal_preference,TSV_3p,lat,lon,Trm_ema_28,Tout_ema_28,RHout_ema_28,precip_ema_28,sunshine_ema_h_28,wind_ema_28,Trm_ema_14,Tout_ema_14,RHout_ema_14,precip_ema_14,sunshine_ema_h_14,wind_ema_14,Trm_ema_7,Tout_ema_7,RHout_ema_7,precip_ema_7,sunshine_ema_h_7,wind_ema_7
08-11-04,31,female,naturally ventilated,office,Cfb,summer,29.8,30.4,24.7,0.04,47.0,0.5,1.1,0,0.0,0.0,45.75,4.85,22.823014,22.823014,62.881028,2.610012,12.175394,9.212364,23.600804,23.600804,63.478728,4.145332,11.437994,7.995151,23.676264,23.676264,68.56684,7.158081,9.981732,8.335337
08-11-04,30,female,naturally ventilated,office,Cfb,summer,29.6,30.7,24.7,0.1,48.0,0.46,1.2,3,-1.0,1.0,45.75,4.85,22.823014,22.823014,62.881028,2.610012,12.175394,9.212364,23.600804,23.600804,63.478728,4.145332,11.437994,7.995151,23.676264,23.676264,68.56684,7.158081,9.981732,8.335337
08-11-04,45,male,naturally ventilated,office,Cfb,summer,30.1,31.4,29.3,0.12,44.0,0.55,1.2,2,-1.0,1.0,45.75,4.85,22.823014,22.823014,62.881028,2.610012,12.175394,9.212364,23.600804,23.600804,63.478728,4.145332,11.437994,7.995151,23.676264,23.676264,68.56684,7.158081,9.981732,8.335337
08-12-04,50,female,naturally ventilated,office,Cfb,summer,28.3,27.4,29.7,0.49,43.0,0.46,1.325,1,-1.0,1.0,45.75,4.85,23.158277,23.158277,63.81241,3.547252,12.175553,8.699861,24.017924,24.017924,64.284039,5.752621,11.537508,7.3577,23.260023,23.260023,69.622935,9.378516,10.524858,7.581745
08-12-04,59,female,naturally ventilated,office,Cfb,summer,27.3,27.8,29.7,0.21,46.0,0.45,1.4,3,-1.0,1.0,45.75,4.85,23.158277,23.158277,63.81241,3.547252,12.175553,8.699861,24.017924,24.017924,64.284039,5.752621,11.537508,7.3577,23.260023,23.260023,69.622935,9.378516,10.524858,7.581745
08-12-04,24,female,naturally ventilated,office,Cfb,summer,26.9,27.6,29.9,0.1,46.0,0.52,1.3,1,-1.0,1.0,45.75,4.85,23.158277,23.158277,63.81241,3.547252,12.175553,8.699861,24.017924,24.017924,64.284039,5.752621,11.537508,7.3577,23.260023,23.260023,69.622935,9.378516,10.524858,7.581745
08-12-04,26,male,naturally ventilated,office,Cfb,summer,27.3,26.9,29.9,0.13,44.0,0.45,1.2,0,0.0,0.0,45.75,4.85,23.158277,23.158277,63.81241,3.547252,12.175553,8.699861,24.017924,24.017924,64.284039,5.752621,11.537508,7.3577,23.260023,23.260023,69.622935,9.378516,10.524858,7.581745
08-12-04,28,female,naturally ventilated,office,Cfb,summer,27.5,27.2,29.9,0.05,53.0,0.46,1.275,1,-1.0,1.0,45.75,4.85,23.158277,23.158277,63.81241,3.547252,12.175553,8.699861,24.017924,24.017924,64.284039,5.752621,11.537508,7.3577,23.260023,23.260023,69.622935,9.378516,10.524858,7.581745
08-12-04,51,male,naturally ventilated,office,Cfb,summer,29.2,30.1,29.9,0.45,42.0,0.6,1.4,0,-1.0,0.0,45.75,4.85,23.158277,23.158277,63.81241,3.547252,12.175553,8.699861,24.017924,24.017924,64.284039,5.752621,11.537508,7.3577,23.260023,23.260023,69.622935,9.378516,10.524858,7.581745
08-12-04,27,male,naturally ventilated,office,Cfb,summer,29.4,30.4,22.7,0.25,42.0,0.51,1.3,0,0.0,0.0,45.75,4.85,23.158277,23.158277,63.81241,3.547252,12.175553,8.699861,24.017924,24.017924,64.284039,5.752621,11.537508,7.3577,23.260023,23.260023,69.622935,9.378516,10.524858,7.581745
08-12-04,23,male,naturally ventilated,office,Cfb,summer,23.7,26.6,22.7,0.53,58.0,0.68,1.4,-1,1.0,-1.0,45.75,4.85,23.158277,23.158277,63.81241,3.547252,12.175553,8.699861,24.017924,24.017924,64.284039,5.752621,11.537508,7.3577,23.260023,23.260023,69.622935,9.378516,10.524858,7.581745
08-12-04,43,female,naturally ventilated,office,Cfb,summer,29.1,30.7,22.7,0.05,49.0,0.44,1.4,2,-1.0,1.0,45.75,4.85,23.158277,23.158277,63.81241,3.547252,12.175553,8.699861,24.017924,24.017924,64.284039,5.752621,11.537508,7.3577,23.260023,23.260023,69.622935,9.378516,10.524858,7.581745
08-12-04,49,female,naturally ventilated,office,Cfb,summer,25.1,26.0,22.7,0.39,60.0,0.46,1.05,1,-1.0,1.0,45.75,4.85,23.158277,23.158277,63.81241,3.547252,12.175553,8.699861,24.017924,24.017924,64.284039,5.752621,11.537508,7.3577,23.260023,23.260023,69.622935,9.378516,10.524858,7.581745
08-12-04,26,female,naturally ventilated,office,Cfb,summer,29.2,29.0,22.2,0.11,42.0,0.4,1.25,1,0.0,1.0,45.75,4.85,23.158277,23.158277,63.81241,3.547252,12.175553,8.699861,24.017924,24.017924,64.284039,5.752621,11.537508,7.3577,23.260023,23.260023,69.622935,9.378516,10.524858,7.581745
