Tair,tr,RH,vel,clo,Met,Âge,Sexe,Tout,Season,cooling type,Building_type,top,tg,thermal_sensation,thermal_preference,Climat,city,country,lat,lon,year,Date,TSV_3p,Climate,Trm_ema_28,Tout_ema_28,RHout_ema_28,precip_ema_28,sunshine_ema_h_28,wind_ema_28,Trm_ema_14,Tout_ema_14,RHout_ema_14,precip_ema_14,sunshine_ema_h_14,wind_ema_14,Trm_ema_7,Tout_ema_7,RHout_ema_7,precip_ema_7,sunshine_ema_h_7,wind_ema_7
22.6,22.56,65.0,0.12,0.42,1.19180887372014,48.0,male,19.75,cool/dry,air conditioned,office,22.58,,-1,0,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-17,-1,Aw,20.864484666944442,20.864484666944442,76.18995949014514,0.6315804500110695,9.656006617208266,7.787199498683683,20.04748419198189,20.04748419198189,75.81383821736016,0.4128725938503993,9.483761887719691,6.560524152422375,19.464664672035724,19.464664672035724,72.74143388215452,0.09843749832361937,9.450022971630096,6.4528656143229455
22.35,22.44,65.0,0.1,1.01,1.26126279863481,46.0,female,19.75,cool/dry,air conditioned,office,22.4,,0,1,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-17,0,Aw,20.864484666944442,20.864484666944442,76.18995949014514,0.6315804500110695,9.656006617208266,7.787199498683683,20.04748419198189,20.04748419198189,75.81383821736016,0.4128725938503993,9.483761887719691,6.560524152422375,19.464664672035724,19.464664672035724,72.74143388215452,0.09843749832361937,9.450022971630096,6.4528656143229455
22.64,22.87,64.0,0.1,0.83,1.19180887372014,37.0,male,19.75,cool/dry,air conditioned,office,22.76,,-1,1,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-17,-1,Aw,20.864484666944442,20.864484666944442,76.18995949014514,0.6315804500110695,9.656006617208266,7.787199498683683,20.04748419198189,20.04748419198189,75.81383821736016,0.4128725938503993,9.483761887719691,6.560524152422375,19.464664672035724,19.464664672035724,72.74143388215452,0.09843749832361937,9.450022971630096,6.4528656143229455
22.79,22.89,63.0,0.11,0.44,1.39044368600683,36.0,male,19.75,cool/dry,air conditioned,office,22.84,,1,-1,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-17,1,Aw,20.864484666944442,20.864484666944442,76.18995949014514,0.6315804500110695,9.656006617208266,7.787199498683683,20.04748419198189,20.04748419198189,75.81383821736016,0.4128725938503993,9.483761887719691,6.560524152422375,19.464664672035724,19.464664672035724,72.74143388215452,0.09843749832361937,9.450022971630096,6.4528656143229455
22.44,22.49,64.0,0.1,0.48,1.09249146757679,31.0,male,19.75,cool/dry,air conditioned,office,22.47,,-1,1,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-17,-1,Aw,20.864484666944442,20.864484666944442,76.18995949014514,0.6315804500110695,9.656006617208266,7.787199498683683,20.04748419198189,20.04748419198189,75.81383821736016,0.4128725938503993,9.483761887719691,6.560524152422375,19.464664672035724,19.464664672035724,72.74143388215452,0.09843749832361937,9.450022971630096,6.4528656143229455
22.5,22.68,63.0,0.1,0.53,1.98634812286689,41.0,male,19.75,cool/dry,air conditioned,office,22.58,,0,0,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-17,0,Aw,20.864484666944442,20.864484666944442,76.18995949014514,0.6315804500110695,9.656006617208266,7.787199498683683,20.04748419198189,20.04748419198189,75.81383821736016,0.4128725938503993,9.483761887719691,6.560524152422375,19.464664672035724,19.464664672035724,72.74143388215452,0.09843749832361937,9.450022971630096,6.4528656143229455
22.41,22.44,63.0,0.1,0.41,1.24146757679181,39.0,male,19.75,cool/dry,air conditioned,office,22.43,,0,0,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-17,0,Aw,20.864484666944442,20.864484666944442,76.18995949014514,0.6315804500110695,9.656006617208266,7.787199498683683,20.04748419198189,20.04748419198189,75.81383821736016,0.4128725938503993,9.483761887719691,6.560524152422375,19.464664672035724,19.464664672035724,72.74143388215452,0.09843749832361937,9.450022971630096,6.4528656143229455
22.47,22.58,68.0,0.13,0.72,1.19180887372014,45.0,female,19.75,cool/dry,air conditioned,office,22.53,,-2,1,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-17,-1,Aw,20.864484666944442,20.864484666944442,76.18995949014514,0.6315804500110695,9.656006617208266,7.787199498683683,20.04748419198189,20.04748419198189,75.81383821736016,0.4128725938503993,9.483761887719691,6.560524152422375,19.464664672035724,19.464664672035724,72.74143388215452,0.09843749832361937,9.450022971630096,6.4528656143229455
22.65,22.86,68.0,0.1,0.72,1.14215017064846,36.0,female,19.75,cool/dry,air conditioned,office,22.77,,-3,1,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-17,-1,Aw,20.864484666944442,20.864484666944442,76.18995949014514,0.6315804500110695,9.656006617208266,7.787199498683683,20.04748419198189,20.04748419198189,75.81383821736016,0.4128725938503993,9.483761887719691,6.560524152422375,19.464664672035724,19.464664672035724,72.74143388215452,0.09843749832361937,9.450022971630096,6.4528656143229455
22.76,22.89,68.0,0.1,0.82,0.993174061433447,21.0,female,19.75,cool/dry,air conditioned,office,22.84,,1,0,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-17,1,Aw,20.864484666944442,20.864484666944442,76.18995949014514,0.6315804500110695,9.656006617208266,7.787199498683683,20.04748419198189,20.04748419198189,75.81383821736016,0.4128725938503993,9.483761887719691,6.560524152422375,19.464664672035724,19.464664672035724,72.74143388215452,0.09843749832361937,9.450022971630096,6.4528656143229455
23.49,23.7,64.0,0.1,0.34,1.7877133105802,40.0,female,19.75,cool/dry,air conditioned,office,23.58,,1,-1,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-17,1,Aw,20.864484666944442,20.864484666944442,76.18995949014514,0.6315804500110695,9.656006617208266,7.787199498683683,20.04748419198189,20.04748419198189,75.81383821736016,0.4128725938503993,9.483761887719691,6.560524152422375,19.464664672035724,19.464664672035724,72.74143388215452,0.09843749832361937,9.450022971630096,6.4528656143229455
23.62,23.77,63.0,0.12,0.49,1.26126279863481,62.0,male,19.75,cool/dry,air conditioned,office,23.7,,-1,0,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-17,-1,Aw,20.864484666944442,20.864484666944442,76.18995949014514,0.6315804500110695,9.656006617208266,7.787199498683683,20.04748419198189,20.04748419198189,75.81383821736016,0.4128725938503993,9.483761887719691,6.560524152422375,19.464664672035724,19.464664672035724,72.74143388215452,0.09843749832361937,9.450022971630096,6.4528656143229455
23.75,23.96,63.0,0.14,0.42,0.993174061433447,30.0,female,19.75,cool/dry,air conditioned,office,23.87,,0,0,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-17,0,Aw,20.864484666944442,20.864484666944442,76.18995949014514,0.6315804500110695,9.656006617208266,7.787199498683683,20.04748419198189,20.04748419198189,75.81383821736016,0.4128725938503993,9.483761887719691,6.560524152422375,19.464664672035724,19.464664672035724,72.74143388215452,0.09843749832361937,9.450022971630096,6.4528656143229455
23.29,23.48,66.0,0.19,0.32,0.993174061433447,30.0,female,19.75,cool/dry,air conditioned,office,23.39,,-2,1,tropical savanna,townsville,australia,-19.2589635,146.8169483,1992,1992-06-17,-1,Aw,20.864484666944442,20.864484666944442,76.18995949014514,0.6315804500110695,9.656006617208266,7.787199498683683,20.04748419198189,20.04748419198189,75.81383821736016,0.4128725938503993,9.483761887719691,6.560524152422375,19.464664672035724,19.464664672035724,72.74143388215452,0.09843749832361937,9.450022971630096,6.4528656143229455
